company_name,company_desc,img_src
Capitala Finance Corp.,Inverse eco-centric hardware,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Vodafone Group Plc,Virtual background focus group,http://dummyimage.com/200x200.png/ff4444/ffffff
"Spartan Motors, Inc.",Vision-oriented local capacity,http://dummyimage.com/200x200.png/cc0000/ffffff
"Big Lots, Inc.",Focused solution-oriented time-frame,http://dummyimage.com/200x200.png/cc0000/ffffff
InfoSonics Corp,Horizontal contextually-based data-warehouse,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Ulta Beauty, Inc.",Open-architected stable infrastructure,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Mitel Networks Corporation,Proactive well-modulated success,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Pingtan Marine Enterprise Ltd.,Cloned 5th generation firmware,http://dummyimage.com/200x200.png/dddddd/000000
Cognex Corporation,Self-enabling holistic strategy,http://dummyimage.com/200x200.png/ff4444/ffffff
"Collegium Pharmaceutical, Inc.",Implemented zero tolerance database,http://dummyimage.com/200x200.png/ff4444/ffffff
"Greenbrier Companies, Inc. (The)",Persistent radical standardization,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Daktronics, Inc.",Focused fresh-thinking productivity,http://dummyimage.com/200x200.png/cc0000/ffffff
Pingtan Marine Enterprise Ltd.,Multi-layered zero defect circuit,http://dummyimage.com/200x200.png/cc0000/ffffff
Ship Finance International Limited,Visionary interactive success,http://dummyimage.com/200x200.png/ff4444/ffffff
New Media Investment Group Inc.,Implemented homogeneous complexity,http://dummyimage.com/200x200.png/ff4444/ffffff
First Community Corporation,Phased grid-enabled matrices,http://dummyimage.com/200x200.png/ff4444/ffffff
National Beverage Corp.,Robust responsive support,http://dummyimage.com/200x200.png/ff4444/ffffff
"Esperion Therapeutics, Inc.",Diverse static adapter,http://dummyimage.com/200x200.png/cc0000/ffffff
"Hasbro, Inc.",Profound attitude-oriented intranet,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"HealthStream, Inc.",Customer-focused eco-centric success,http://dummyimage.com/200x200.png/cc0000/ffffff
Deckers Outdoor Corporation,Function-based scalable standardization,http://dummyimage.com/200x200.png/ff4444/ffffff
M III Acquisition Corp.,Managed human-resource hardware,http://dummyimage.com/200x200.png/cc0000/ffffff
Nuveen High Income December 2019 Target Term Fund,Integrated high-level throughput,http://dummyimage.com/200x200.png/dddddd/000000
Akari Therapeutics Plc,Intuitive holistic function,http://dummyimage.com/200x200.png/cc0000/ffffff
